"","interact_id","treksoft_pid","treksoft_uid","ethica_id","sd_id_1","sd_firmware_1","sd_start_1","sd_end_1","sd_id_2","sd_firmware_2","sd_start_2","sd_end_2","dropout","data_disposition","test","plg_id","wave"
"82",201547240,"267","269",NA,481,2106,2018-06-13,2018-06-22,NA,NA,NA,NA,NA,NA,0,NA,1
"83",201607646,"391","393",NA,481,2106,2018-07-26,2018-08-04,NA,NA,NA,NA,NA,NA,0,NA,1
"84",201841665,"277","279",5604,481,2106,2018-07-06,2018-07-15,NA,NA,NA,NA,NA,NA,0,NA,1
"85",201421800,"610","612",6579,494,2106,2018-10-02,2018-10-11,NA,NA,NA,NA,NA,NA,0,NA,1
"86",201459922,"525","527",5839,494,2106,2018-08-10,2018-08-21,NA,NA,NA,NA,NA,NA,0,NA,1
"87",201541156,"121","123",5233,494,2106,2018-05-30,2018-06-08,NA,NA,NA,NA,NA,NA,0,NA,1
"88",201544209,"219","221",5393,494,2106,2018-06-23,2018-07-02,NA,NA,NA,NA,NA,NA,0,NA,1
"89",201661659,"313","315",5581,494,2106,2018-08-28,2018-09-06,NA,NA,NA,NA,NA,NA,0,NA,1
"90",201759149,"87","89",5740,494,2106,2018-07-18,2018-07-28,NA,NA,NA,NA,NA,NA,0,NA,1
"91",201119567,"258","260",5294,482,2106,2018-11-10,2018-11-19,NA,NA,NA,NA,NA,NA,0,NA,1
"92",201541287,"285","287",NA,482,2106,2018-06-12,2018-06-21,NA,NA,NA,NA,NA,NA,0,NA,1
"93",201598406,"64","66",5140,482,2106,2018-05-25,2018-06-03,NA,NA,NA,NA,NA,NA,0,NA,1
"94",201732023,"412","414",NA,482,2106,2018-07-05,2018-07-14,NA,NA,NA,NA,NA,NA,0,NA,1
"95",201894756,"140","142",NA,482,2106,2018-08-02,2018-08-11,NA,NA,NA,NA,NA,NA,0,NA,1
"96",201185816,"703","705",5997,495,2106,2018-08-22,2018-08-31,NA,NA,NA,NA,NA,NA,0,NA,1
"97",201595427,"866","868",6244,495,2106,2018-09-15,2018-09-25,NA,NA,NA,NA,NA,NA,0,NA,1
"98",201833530,"833","835",7832,495,2106,2018-10-31,2018-11-09,NA,NA,NA,NA,NA,NA,0,NA,1
"99",201893555,"546","548",5796,495,2106,2018-10-11,2018-10-20,NA,NA,NA,NA,NA,NA,0,NA,1
"100",201999448,"231","233",5630,495,2106,2018-06-01,2018-06-11,NA,NA,NA,NA,NA,NA,0,NA,1
"101",201122672,"695","697",NA,490,2106,2018-08-22,2018-08-31,NA,NA,NA,NA,NA,NA,0,NA,1
"102",201702497,"338","340",5854,490,2106,2018-07-31,2018-08-09,NA,NA,NA,NA,NA,NA,0,NA,1
"103",201771612,"834","836",7190,494,2106,2018-10-27,2018-11-05,NA,NA,NA,NA,NA,NA,0,NA,1
"104",201774161,"399","401",NA,490,2106,2018-07-05,2018-07-14,NA,NA,NA,NA,NA,NA,0,NA,1
"105",201784517,"34","36",5223,490,2106,2018-05-23,2018-06-01,NA,NA,NA,NA,NA,NA,0,NA,1
"106",201144166,"118","120",NA,488,2106,2018-05-25,2018-06-03,NA,NA,NA,NA,NA,NA,0,NA,1
"107",201660846,"403","405",NA,488,2106,2018-07-20,2018-07-29,NA,NA,NA,NA,NA,NA,0,NA,1
"108",201330387,"112","114",7449,474,2106,2018-07-26,2018-08-04,NA,NA,NA,NA,NA,NA,0,NA,1
"109",201470524,"716","718",6966,474,2106,2018-08-30,2018-09-08,NA,NA,NA,NA,NA,NA,0,NA,1
"110",201801387,"71","73",NA,474,2106,2018-11-08,2018-12-15,NA,NA,NA,NA,NA,NA,0,NA,1
"111",201825339,"286","288",NA,474,2106,2018-06-28,2018-07-07,NA,NA,NA,NA,NA,NA,0,NA,1
"112",201890309,"376","378",NA,474,2106,2018-10-06,2018-10-15,NA,NA,NA,NA,NA,NA,0,NA,1
"113",201906396,"236","238",5390,474,2106,2018-06-13,2018-06-22,NA,NA,NA,NA,NA,NA,0,NA,1
"114",201984846,"624","626",5986,474,2106,2018-11-07,2018-11-16,NA,NA,NA,NA,NA,NA,0,NA,1
"115",201995308,"256","258",NA,474,2106,2018-05-24,2018-06-02,NA,NA,NA,NA,NA,NA,0,NA,1
"116",201244468,"750","752",NA,475,2106,2018-08-24,2018-09-02,NA,NA,NA,NA,NA,NA,0,NA,1
"117",201518284,"557","559",5920,475,2106,2018-08-03,2018-08-12,NA,NA,NA,NA,NA,NA,0,NA,1
"118",201790918,"10","12",5061,475,2106,2018-05-15,2018-05-24,NA,NA,NA,NA,NA,NA,0,NA,1
"119",201328108,"699","701",NA,476,2106,2018-10-04,2018-10-13,NA,NA,NA,NA,NA,NA,0,NA,1
"120",201499501,"813","815",NA,476,2106,2018-09-15,2018-09-25,NA,NA,NA,NA,NA,NA,0,NA,1
"121",201804678,"146","148",5181,476,2106,2018-05-23,2018-06-01,NA,NA,NA,NA,NA,NA,0,NA,1
"122",201972436,"206","208",NA,476,2106,2018-07-26,2018-08-24,NA,NA,NA,NA,NA,NA,0,NA,1
"123",201177837,"603","605",NA,465,2106,2018-08-27,2018-09-05,NA,NA,NA,NA,NA,NA,0,NA,1
"124",201356556,"748","750",NA,465,2106,2018-10-27,2018-11-05,NA,NA,NA,NA,NA,NA,0,NA,1
"125",201481781,"326","328",NA,465,2106,2018-07-06,2018-07-15,NA,NA,NA,NA,NA,NA,0,NA,1
"126",201676154,"891","893",6781,465,2106,2018-09-29,2018-10-08,NA,NA,NA,NA,NA,NA,0,NA,1
"127",201734545,"78","80",NA,465,2106,2018-05-18,2018-05-27,NA,NA,NA,NA,NA,NA,0,NA,1
"128",201085786,"882","884",6331,457,2106,2018-09-22,2018-10-01,NA,NA,NA,NA,NA,NA,0,NA,1
"129",201501554,"912","914",7077,457,2106,2018-10-18,2018-10-27,NA,NA,NA,NA,NA,NA,0,NA,1
"130",201502772,"75","77",NA,457,2106,2018-08-11,2018-08-20,NA,NA,NA,NA,NA,NA,0,NA,1
"131",201552267,"242","244",5274,439,2106,2018-06-12,2018-06-23,NA,NA,NA,NA,NA,NA,0,NA,1
"132",201564666,"298","300",NA,457,2106,2018-07-05,2018-07-14,NA,NA,NA,NA,NA,NA,0,NA,1
"133",201781641,"464","466",5673,457,2106,2018-07-26,2018-08-04,NA,NA,NA,NA,NA,NA,0,NA,1
